"STAID"	"SiteIndex"	"DRAIN_SQKM"	"HUC02"	"LAT_GAGE"	"LNG_GAGE"	"STATE"	"BOUND_SOURCE"	"CLASS"	"AGGECOREGION"	"HYDRO_DISTURB_INDX"	"nobs_TP_2019"	"nobs_TP_2012"	"mean_TP_2019"	"mean_TP_2012"	"nobs_Q"	"nobs_Q_2012"	"nobs_Q_pct"	"nobs_Q_2012_pct"
"02334885"	1975	122.1	"03"	34.032323	-84.089356	"GA"	4	"Non-ref"	"SEPlains"	21	125	89	0.1443	0.1561	12875	10319	88.12	85.61
"02336300"	1991	221.7	"03"	33.819444	-84.407778	"GA"	4	"Non-ref"	"SEPlains"	20	311	311	0.1469	0.1469	14610	12054	100	100
"02336410"	1993	96.5	"03"	33.838438	-84.439373	"GA"	1	"Non-ref"	"SEPlains"	27	84	81	0.245	0.252	7545	4989	51.64	41.39
"02337000"	1999	617.6	"03"	33.772885	-84.614656	"GA"	3	"Non-ref"	"SEPlains"	19	104	104	0.0723	0.0723	14610	12054	100	100
"02337170"	2001	5325.3	"03"	33.656667	-84.673611	"GA"	1	"Non-ref"	"SEPlains"	32	220	220	0.3886	0.3886	14610	12054	100	100
"02338000"	2005	6250.6	"03"	33.477058	-84.900772	"GA"	4	"Non-ref"	"SEPlains"	30	461	369	0.1316	0.1417	14610	12054	100	100
"02339500"	2010	9167	"03"	32.886239	-85.182164	"GA"	4	"Non-ref"	"SEPlains"	27	129	129	0.0702	0.0702	14609	12054	99.99	100
"02349500"	2039	7574.7	"03"	32.298213	-84.043797	"GA"	4	"Non-ref"	"SEPlains"	19	158	158	0.0752	0.0752	8816	8816	60.34	73.14
"02349605"	2040	7574.7	"03"	32.293056	-84.043611	"GA"	1	"Non-ref"	"SEPlains"	19	144	85	0.0745	0.0744	14610	12054	100	100
"02380500"	2115	611.6	"03"	34.674975	-84.508554	"GA"	1	"Non-ref"	"EastHghlnds"	27	163	125	0.1639	0.191	14610	12054	100	100
"02387000"	2127	1781.8	"03"	34.666749	-84.928276	"GA"	1	"Non-ref"	"EastHghlnds"	22	406	325	0.2252	0.2612	14610	12054	100	100
"02387500"	2128	4153.3	"03"	34.577111	-84.941853	"GA"	1	"Non-ref"	"EastHghlnds"	23	177	177	0.1789	0.1789	14610	12054	100	100
"02392000"	2145	1589.4	"03"	34.239929	-84.494673	"GA"	3	"Non-ref"	"SEPlains"	19	136	104	0.0778	0.0782	14610	12054	100	100
"02397000"	2157	10460.5	"03"	34.200373	-85.25662	"GA"	4	"Non-ref"	"EastHghlnds"	27	200	200	0.1499	0.1499	14610	12054	100	100
"02398000"	2159	496.9	"03"	34.466389	-85.336111	"GA"	1	"Non-ref"	"EastHghlnds"	21	169	169	0.1584	0.1584	14610	12054	100	100
"0242354750"	2207	66.1	"03"	33.313445	-86.806378	"AL"	4	"Non-ref"	"EastHghlnds"	30	172	172	0.1873	0.1873	7762	5206	53.13	43.19
"03073000"	2429	467.2	"05"	39.923131	-80.072558	"PA"	1	"Non-ref"	"EastHghlnds"	21	85	23	0.1065	0.1043	9128	6574	62.48	54.54
"03105500"	2476	5752.9	"05"	40.888674	-80.337008	"PA"	1	"Non-ref"	"NorthEast"	26	109	34	0.1412	0.1479	14610	12054	100	100
"03107500"	2480	8034.3	"05"	40.763398	-80.315063	"PA"	1	"Non-ref"	"NorthEast"	27	192	123	0.1368	0.1502	14610	12054	100	100
"03150000"	2540	19210.1	"05"	39.645071	-81.849858	"OH"	1	"Non-ref"	"EastHghlnds"	26	82	82	0.1182	0.1182	11327	8771	77.53	72.76
"03230450"	2665	97	"05"	39.84783	-83.15733	"OH"	1	"Non-ref"	"CntlPlains"	23	304	218	0.2215	0.2306	9424	6911	64.5	57.33
"03245500"	2690	3114.5	"05"	39.171449	-84.297993	"OH"	4	"Non-ref"	"CntlPlains"	28	121	121	0.3887	0.3887	14610	12054	100	100
"03290500"	2800	16007.6	"05"	38.438957	-84.963284	"KY"	1	"Non-ref"	"SEPlains"	20	137	122	0.1511	0.1469	12397	9862	84.85	81.82
"03298500"	2831	3098.9	"05"	37.985066	-85.717459	"KY"	1	"Non-ref"	"SEPlains"	23	78	78	0.2801	0.2801	14600	12054	99.93	100
"03336645"	2922	1120.2	"05"	40.137258	-87.745858	"IL"	1	"Non-ref"	"CntlPlains"	24	78	69	0.089	0.0852	14610	12054	100	100
"03336900"	2923	339.2	"05"	40.148645	-88.033371	"IL"	1	"Non-ref"	"CntlPlains"	21	140	140	0.3381	0.3381	9953	7397	68.12	61.37
"03338780"	2926	691.6	"05"	40.265314	-87.642799	"IL"	1	"Ref"	"CntlPlains"	16	93	93	0.1058	0.1058	9539	8858	65.29	73.49
"03339000"	2927	3341.4	"05"	40.10087	-87.597242	"IL"	1	"Non-ref"	"CntlPlains"	27	203	129	0.3548	0.3952	14610	12054	100	100
